date,open,high,low,close,volume
2024-07-12,3459.9564,3479.0958,3457.3633,3472.4014,13087458900
2024-07-15,3462.6113,3481.4613,3460.7915,3476.2467,11851708300
2024-07-16,3466.8523,3500.2943,3464.3655,3498.2827,12065901700
2024-07-17,3494.2090,3514.4753,3486.2229,3501.5836,13180206200
2024-07-18,3483.2975,3522.7995,3475.7236,3520.9310,12376819900
2024-07-19,3500.8052,3545.3383,3493.0734,3539.0156,13244797500
2024-07-22,3538.4012,3540.1874,3494.0143,3514.9249,13212633700
2024-07-23,3509.7887,3509.7887,3439.8779,3439.8779,12889766000
2024-07-24,3432.3459,3451.4196,3408.4129,3418.1663,12703626300
2024-07-25,3404.6110,3415.8557,3383.7991,3399.2716,13102224200
2024-07-26,3403.7084,3420.8201,3388.6601,3409.2931,12419555800
2024-07-29,3404.3663,3408.5024,3388.8444,3390.7420,10978778600
2024-07-30,3380.6893,3380.6893,3352.8043,3369.3821,10495216400
2024-07-31,3364.0268,3445.0042,3364.0268,3442.0844,17195917700
2024-08-01,3443.1397,3448.3361,3419.1872,3419.2666,13632346400
2024-08-02,3393.9167,3419.1023,3380.9645,3384.3919,11661525500
2024-08-05,3362.1117,3409.0314,3343.3205,3343.3205,14281251600
2024-08-06,3367.3517,3376.7956,3318.6251,3342.9789,11934027900
2024-08-07,3338.5909,3362.3839,3329.9658,3341.4890,9508437700
2024-08-08,3332.4281,3364.7855,3320.8432,3342.9369,9249569500
2024-08-09,3358.1280,3366.6688,3331.6274,3331.6274,9151162600
2024-08-12,3327.5561,3338.0771,3319.8908,3325.8645,7993875400
2024-08-13,3328.0138,3335.0140,3310.1909,3334.3903,8448967900
2024-08-14,3332.7866,3332.7866,3309.1000,3309.2389,7874240700
2024-08-15,3301.4455,3356.7644,3297.9711,3341.9530,10476639900
2024-08-16,3342.0346,3356.9071,3335.6239,3345.6340,9651908300
2024-08-19,3344.2614,3375.9621,3343.7116,3356.9677,10557111000
2024-08-20,3361.6394,3362.3338,3321.6397,3332.7034,10166833100
2024-08-21,3322.9134,3339.4430,3307.9917,3321.6350,8995475100
2024-08-22,3322.8723,3327.6962,3305.2453,3313.1357,10036650400
2024-08-23,3305.9307,3336.2414,3305.6403,3327.1905,8952577400
2024-08-26,3330.7184,3336.5271,3311.5701,3324.2231,9399077200
2024-08-27,3315.6860,3320.5667,3299.5635,3305.3338,9580815700
2024-08-28,3298.9089,3305.3496,3274.5881,3286.4956,9269665000
2024-08-29,3273.5410,3290.7857,3269.5288,3277.6812,13070233300
2024-08-30,3273.7532,3351.6254,3273.6496,3321.4323,18869544300
2024-09-02,3307.5432,3307.7627,3264.7565,3265.0110,14761235300
2024-09-03,3261.7410,3281.5935,3261.1877,3273.4282,12289730600
2024-09-04,3253.8980,3272.9861,3249.9809,3252.1649,10483248200
2024-09-05,3252.9600,3266.8820,3247.1725,3257.7578,9710945000
2024-09-06,3261.1542,3274.8144,3231.0685,3231.3457,8840041700
2024-09-09,3214.7996,3222.9278,3180.9277,3192.9516,10867306900
2024-09-10,3193.4557,3205.0972,3171.7932,3195.7552,9729007800
2024-09-11,3187.0508,3197.3363,3174.0343,3186.1299,10248211000
2024-09-12,3189.4271,3201.5544,3171.8775,3172.4747,9286865700
2024-09-13,3174.0344,3188.9145,3159.2470,3159.2470,8833667700
2024-09-18,3158.8179,3179.9012,3145.7908,3171.0102,8472281400
2024-09-19,3178.3959,3213.8378,3149.7925,3196.0357,12543927200
2024-09-20,3192.4322,3207.9875,3173.2238,3201.0497,11806409800
2024-09-23,3200.8678,3230.1613,3198.0248,3212.7639,9534485500
2024-09-24,3244.6468,3351.9684,3222.4885,3351.9090,20407221700
2024-09-25,3403.7021,3465.4882,3393.4380,3401.5330,24156425500
2024-09-26,3399.3188,3545.3249,3391.6772,3545.3204,24313401000
2024-09-27,3617.9203,3708.4951,3596.5833,3703.6849,26548777400
2024-09-30,3846.6515,4038.6968,3796.5045,4017.8545,51021770700
2024-10-08,4450.3675,4450.3675,4094.3519,4256.0962,58986789400
2024-10-09,4168.8436,4197.6000,3942.5118,3955.9839,48226929500
2024-10-10,3979.6116,4098.4967,3912.7708,3997.7879,39505309900
2024-10-11,3969.7576,3978.2389,3847.1228,3887.1670,27409650500
2024-10-14,3915.2186,3979.5431,3868.7790,3961.3424,30757899300
2024-10-15,3942.5342,3967.8712,3855.9949,3855.9949,24248644800
2024-10-16,3806.1373,3877.7483,3805.0868,3831.5890,21886640700
2024-10-17,3853.8410,3882.0733,3787.7498,3788.2217,21231382000
