日期,="沪深300.收盘点位",="宏观.大陆-居民消费价格指数(CPI)(右1)",="宏观.大陆-工业品出厂价格指数(PPI)(右1)",="CPI-PPI(右1)"
2017-06-30,=3666.7977,=0.0150,=0.0550,=-0.0400
2017-06-23,=3622.8831,,,
2017-06-16,=3518.7611,,,
2017-06-09,=3576.1703,,,
2017-06-02,=3486.5074,,,
2017-05-31,,=0.0150,=0.0550,=-0.0400
2017-05-26,=3480.4300,,,
2017-05-19,=3403.8492,,,
2017-05-12,=3385.3787,,,
2017-05-05,=3382.5502,,,
2017-04-30,,=0.0120,=0.0640,=-0.0520
2017-04-28,=3439.7500,,,
2017-04-21,=3466.7865,,,
2017-04-14,=3486.5045,,,
2017-04-07,=3517.4634,,,
2017-03-31,=3456.0500,=0.0090,=0.0760,=-0.0670
2017-03-24,=3489.5997,,,
2017-03-17,=3445.8051,,,
2017-03-10,=3427.8916,,,
2017-03-03,=3427.8628,,,
2017-02-28,,=0.0080,=0.0780,=-0.0700
2017-02-24,=3473.8517,,,
2017-02-17,=3421.4419,,,
2017-02-10,=3413.4868,,,
2017-02-03,=3364.4923,,,
2017-01-31,,=0.0250,=0.0690,=-0.0440
2017-01-26,=3387.9606,,,
2017-01-20,=3354.8891,,,
2017-01-13,=3319.9122,,,
2017-01-06,=3347.6665,,,
2016-12-31,,=0.0210,=0.0550,=-0.0340
2016-12-30,=3310.0800,,,
2016-12-23,=3307.5991,,,
2016-12-16,=3346.0305,,,
2016-12-09,=3493.7004,,,
2016-12-02,=3528.9547,,,
2016-11-30,,=0.0230,=0.0330,=-0.0100
2016-11-25,=3521.2984,,,
2016-11-18,=3417.4554,,,
2016-11-11,=3417.2211,,,
2016-11-04,=3354.1749,,,
2016-10-31,,=0.0210,=0.0120,=0.0090
2016-10-28,=3340.1262,,,
2016-10-21,=3327.7400,,,
2016-10-14,=3305.8481,,,
2016-09-30,=3253.2848,=0.0190,=0.0010,=0.0180
2016-09-23,=3275.6665,,,
2016-09-14,=3238.7299,,,
2016-09-09,=3318.0440,,,
2016-09-02,=3314.1142,,,
2016-08-31,,=0.0130,=-0.0080,=0.0210
2016-08-26,=3307.0902,,,
2016-08-19,=3365.0197,,,
2016-08-12,=3294.2337,,,
2016-08-05,=3205.1101,,,
2016-07-31,,=0.0180,=-0.0170,=0.0350
2016-07-29,=3203.9304,,,
2016-07-22,=3225.1621,,,
2016-07-15,=3276.2775,,,
2016-07-08,=3192.2804,,,
2016-07-01,=3154.2003,,,
2016-06-30,,=0.0190,=-0.0260,=0.0450
2016-06-24,=3077.1554,,,
2016-06-17,=3110.3572,,,
2016-06-08,=3163.9864,,,
2016-06-03,=3189.3255,,,
2016-05-31,,=0.0200,=-0.0280,=0.0480
2016-05-27,=3062.4993,,,
2016-05-20,=3078.2183,,,
2016-05-13,=3074.9351,,,
2016-05-06,=3130.3544,,,
2016-04-30,,=0.0230,=-0.0340,=0.0570
2016-04-29,=3156.7451,,,
2016-04-22,=3174.9012,,,
2016-04-15,=3272.2053,,,
2016-04-08,=3185.7258,,,
2016-04-01,=3221.8948,,,
2016-03-31,,=0.0230,=-0.0430,=0.0660
2016-03-25,=3197.8169,,,
2016-03-18,=3171.9630,,,
2016-03-11,=3018.2844,,,
2016-03-04,=3093.8895,,,
2016-02-29,,=0.0230,=-0.0490,=0.0720
2016-02-26,=2948.0306,,,
2016-02-19,=3051.5850,,,
2016-02-05,=2963.7894,,,
2016-01-31,,=0.0180,=-0.0530,=0.0710
2016-01-29,=2946.0902,,,
2016-01-22,=3113.4626,,,
2016-01-15,=3118.7300,,,
2016-01-08,=3361.5630,,,
2015-12-31,=3731.0050,=0.0160,=-0.0590,=0.0750
2015-12-25,=3838.2010,,,
2015-12-18,=3767.9130,,,
2015-12-11,=3608.0590,,,
2015-12-04,=3677.5920,,,
2015-11-30,,=0.0150,=-0.0590,=0.0740
2015-11-27,=3556.9920,,,
2015-11-20,=3774.3830,,,
2015-11-13,=3746.2420,,,
2015-11-06,=3793.3740,,,
2015-10-31,,=0.0130,=-0.0590,=0.0720
2015-10-30,=3534.0790,,,
2015-10-23,=3571.2410,,,
2015-10-16,=3534.0650,,,
2015-10-09,=3340.1160,,,
2015-09-30,=3202.9480,=0.0160,=-0.0590,=0.0750
2015-09-25,=3231.9510,,,
2015-09-18,=3251.2730,,,
2015-09-11,=3347.1880,,,
2015-09-02,=3365.8320,,,
2015-08-31,,=0.0200,=-0.0590,=0.0790
2015-08-28,=3342.2860,,,

数据来源于：理杏仁网站(lixinger.com)
