日期,="沪深300.收盘点位",="宏观.中债-十年期收益率(右1)",="宏观.月度社会融资增长率 / 3.6

(右1)",="宏观.大陆 - M2增长率 / 3.28
"
2018-04-13,=3871.1443,=0.0371,,
2018-04-08,,=0.0370,,
2018-04-04,=3854.8625,,,
2018-03-31,,,=0.0353,=0.0250
2018-03-30,=3898.4977,=0.0374,,
2018-03-23,=3904.9355,=0.0370,,
2018-03-16,=4056.4226,=0.0382,,
2018-03-09,=4108.8652,=0.0383,,
2018-03-02,=4016.4610,=0.0384,,
2018-02-28,,,=0.0372,=0.0268
2018-02-24,,=0.0387,,
2018-02-23,=4071.0889,,,
2018-02-14,=3966.9614,=0.0387,,
2018-02-11,,=0.0388,,
2018-02-09,=3840.6527,,,
2018-02-02,=4271.2326,=0.0391,,
2018-01-31,,,=0.0373,=0.0262
2018-01-26,=4381.2996,=0.0394,,
2018-01-19,=4285.3950,=0.0398,,
2018-01-12,=4225.0010,=0.0393,,
2018-01-05,=4138.7505,=0.0392,,
2017-12-31,,=0.0388,=0.0333,=0.0250
2017-12-29,=4030.8549,,,
2017-12-22,=4054.5984,=0.0388,,
2017-12-15,=3980.8558,=0.0389,,
2017-12-08,=4003.3792,=0.0391,,
2017-12-01,=3998.1365,=0.0389,,
2017-11-30,,,=0.0347,=0.0277
2017-11-24,=4104.2034,=0.0395,,
2017-11-17,=4120.8508,=0.0392,,
2017-11-10,=4111.9112,=0.0390,,
2017-11-03,=3992.6979,=0.0388,,
2017-10-31,,,=0.0358,=0.0268
2017-10-27,=4021.9676,=0.0383,,
2017-10-20,=3926.8520,=0.0372,,
2017-10-13,=3921.0017,=0.0367,,
2017-09-30,,=0.0361,=0.0361,=0.0280
2017-09-29,=3836.5013,,,
2017-09-22,=3837.7304,=0.0362,,
2017-09-15,=3831.2965,=0.0360,,
2017-09-08,=3825.9895,=0.0360,,
2017-09-01,=3830.5383,=0.0364,,
2017-08-31,,,=0.0364,=0.0271
2017-08-25,=3795.7544,=0.0363,,
2017-08-18,=3724.6748,=0.0360,,
2017-08-11,=3647.3503,=0.0362,,
2017-08-04,=3707.5796,=0.0363,,
2017-07-31,,,=0.0367,=0.0280
2017-07-28,=3721.8914,=0.0360,,
2017-07-21,=3728.5976,=0.0358,,
2017-07-14,=3703.0940,=0.0356,,
2017-07-07,=3655.9293,=0.0359,,
2017-06-30,=3666.7977,=0.0357,=0.0356,=0.0287
2017-06-23,=3622.8831,=0.0355,,
2017-06-16,=3518.7611,=0.0357,,
2017-06-09,=3576.1703,=0.0363,,
2017-06-02,=3486.5074,=0.0363,,
2017-05-31,,,=0.0358,=0.0293
2017-05-27,,=0.0365,,
2017-05-26,=3480.4300,,,
2017-05-19,=3403.8492,=0.0362,,
2017-05-12,=3385.3787,=0.0365,,
2017-05-05,=3382.5502,=0.0356,,
2017-04-30,,,=0.0353,=0.0320
2017-04-28,=3439.7500,=0.0347,,
2017-04-21,=3466.7865,=0.0346,,
2017-04-14,=3486.5045,=0.0336,,
2017-04-07,=3517.4634,=0.0330,,
2017-04-01,,=0.0327,,
2017-03-31,=3456.0500,,=0.0347,=0.0323
2017-03-24,=3489.5997,=0.0325,,
2017-03-17,=3445.8051,=0.0331,,
2017-03-10,=3427.8916,=0.0342,,
2017-03-03,=3427.8628,=0.0336,,
2017-02-28,,,=0.0356,=0.0338
2017-02-24,=3473.8517,=0.0329,,
2017-02-17,=3421.4419,=0.0333,,
2017-02-10,=3413.4868,=0.0344,,
2017-02-04,,=0.0341,,
2017-02-03,=3364.4923,,,
2017-01-31,,,=0.0353,=0.0345
2017-01-26,=3387.9606,=0.0335,,
2017-01-22,,=0.0326,,
2017-01-20,=3354.8891,,,
2017-01-13,=3319.9122,=0.0320,,
2017-01-06,=3347.6665,=0.0320,,
2016-12-31,,=0.0301,=0.0356,=0.0345
2016-12-30,=3310.0800,,,
2016-12-23,=3307.5991,=0.0318,,
2016-12-16,=3346.0305,=0.0328,,
2016-12-09,=3493.7004,=0.0309,,
2016-12-02,=3528.9547,=0.0299,,
2016-11-30,,,=0.0369,=0.0348
2016-11-25,=3521.2984,=0.0286,,
2016-11-18,=3417.4554,=0.0289,,
2016-11-11,=3417.2211,=0.0282,,
2016-11-04,=3354.1749,=0.0273,,
2016-10-31,,,=0.0356,=0.0354
2016-10-28,=3340.1262,=0.0270,,
2016-10-21,=3327.7400,=0.0265,,
2016-10-14,=3305.8481,=0.0270,,
2016-10-09,,=0.0268,,
2016-09-30,=3253.2848,=0.0273,=0.0347,=0.0351
2016-09-23,=3275.6665,=0.0273,,
2016-09-18,,=0.0277,,
2016-09-14,=3238.7299,,,
2016-09-09,=3318.0440,=0.0277,,
2016-09-02,=3314.1142,=0.0275,,
2016-08-31,,,=0.0342,=0.0348
2016-08-26,=3307.0902,=0.0269,,
2016-08-19,=3365.0197,=0.0270,,
2016-08-12,=3294.2337,=0.0267,,
2016-08-05,=3205.1101,=0.0275,,
2016-07-31,,,=0.0339,=0.0311
2016-07-29,=3203.9304,=0.0278,,
2016-07-22,=3225.1621,=0.0279,,
2016-07-15,=3276.2775,=0.0283,,
2016-07-08,=3192.2804,=0.0280,,
2016-07-01,=3154.2003,=0.0280,,
2016-06-30,,,=0.0345,=0.0360
2016-06-24,=3077.1554,=0.0288,,
2016-06-17,=3110.3572,=0.0294,,
2016-06-12,,=0.0301,,
2016-06-08,=3163.9864,,,
2016-06-03,=3189.3255,=0.0302,,
