日期,="沪深300.PE-TTM(市值加权)",="宏观.中债-十年期收益率",="1 / 沪深300.PE-TTM(市值加权) / 宏观.中债 - 十年期收益率"
2015-12-31,=13.6748,=0.0282,=2.5921
2015-12-25,=13.9959,=0.0281,=2.5462
2015-12-18,=13.8082,=0.0294,=2.4626
2015-12-11,=13.1477,=0.0299,=2.5412
2015-12-04,=13.4755,=0.0303,=2.4529
2015-11-27,=13.0421,=0.0306,=2.5055
2015-11-20,=13.7881,=0.0313,=2.3208
2015-11-13,=13.6872,=0.0313,=2.3379
2015-11-06,=13.8438,=0.0313,=2.3115
2015-10-30,=12.9920,=0.0306,=2.5154
2015-10-23,=12.7846,=0.0304,=2.5730
2015-10-16,=12.6909,=0.0312,=2.5242
2015-10-10,,=0.0316,=2.6194
2015-10-09,=12.0766,,=2.5587
2015-09-30,=11.6167,=0.0324,=2.6600
