日期,成交金额-上海(亿元),成交金额-深圳(亿元),全部成交金额(亿元),融资买入额(亿元),融资买入额占比(%)
2019-12-31,44382.54,68632.03720491,113014.57720490999,11095.12,9.817423800013975
2020-01-31,44701.07,67588.64295176,112289.71295176001,11687.3,10.408166244953264
2020-02-29,75660.59,121061.99431855,196722.58431855,20741.13,10.54333953157823
2020-03-31,75158.4,115844.70271173,191003.10271173,18020.04,9.434422658147398
2020-04-30,50717.22,81120.68434892,131837.90434891998,11530.34,8.74584593629765
2020-05-31,44986.66,67499.86375305,112486.52375305,9816.89,8.727169862188777
2020-06-30,57495.76,87734.13903686,145229.89903686,13608.86,9.370563561808998
2020-07-31,132681.4,169281.80819978,301963.20819977997,32699.95,10.82911729377494
2020-08-31,96430.0,126536.63381893,222966.63381893001,21679.18,9.723060185590613
2020-09-30,62290.0,107582.143,169872.14299999998,13707.99,8.069592670058917
2020-10-31,42839.0,76863.26011432,119702.26011432,9896.68,8.26774698368127
2020-11-30,72843.0,102925.63373286,175768.63373286,15545.6,8.844353892871926
2020-12-31,84058.0,104352.14984776,188410.14984775998,16908.99,8.974564275684129
2021-01-31,96861.0,121852.82576706,218713.82576705999,21605.42,9.878396998555884
2021-02-28,65364.0,79354.71115,144718.71115,13491.0,9.322222325499201
2021-03-31,84279.0,101680.50339174,185959.50339174,15007.460000000001,8.070283973809863
2021-04-30,68925.0,89685.04878089,158610.04878089,13082.66,8.248317241282036
2021-05-31,72194.0,86860.67943162,159054.67943162,14309.84,8.99680540750894
2021-06-30,93283.0,115825.60419085,209108.60419085,18233.23,8.719502514281444
2021-07-31,115787.52,149098.83170589,264886.35170589003,23342.17,8.812145227443578
2021-08-31,127400.0,165951.49697632,293351.49697632,25251.31,8.607868124169944
2021-09-30,129329.0,144902.69886507,274231.69886507,23058.66,8.40845901310101
2021-10-31,73148.0,89380.35877008,162528.35877008,12194.34,7.502899858387586
2021-11-30,103474.0,146555.49130003,250029.49130003,18408.9,7.362691458628662
2021-12-31,109962.0,148579.40601168,258541.40601168,18575.22,7.184620941978183
