债券代码,债券简称,申购日期,申购代码,正股代码,正股简称,中签率,上市时间,信用评级
127085,韵达转债,2023-04-11,072120,002120,韵达股份,0.003541896,2023-05-23,AA+
123191,智尚转债,2023-04-10,370918,300918,南山智尚,0.0006109102,2023-04-28,AA-
123190,道氏转02,2023-04-07,370409,300409,道氏技术,0.0072192519,2023-04-25,AA-
123189,晓鸣转债,2023-04-06,370967,300967,晓鸣股份,0.0007801534,2023-04-25,A
113669,景23转债,2023-04-04,754228,603228,景旺电子,0.00171213,2023-05-09,AA
123187,超达转债,2023-04-04,371186,301186,超达装备,0.0004562974,2023-04-25,A
123188,水羊转债,2023-04-04,370740,300740,水羊股份,0.0011610488,2023-04-25,A+
123185,能辉转债,2023-03-31,371046,301046,能辉科技,0.0018787062,2023-04-20,A+
123186,志特转债,2023-03-31,370986,300986,志特新材,0.0009688248,2023-04-21,A+
113668,鹿山转债,2023-03-27,754051,603051,鹿山新材,0.00125528,2023-04-27,A+
127084,柳工转2,2023-03-27,070528,000528,柳工,0.0147874707,2023-04-20,AAA
127083,山路转债,2023-03-24,070498,000498,山东路桥,0.0089251959,2023-04-26,AAA
123183,海顺转债,2023-03-23,370501,300501,海顺新材,0.001257266,2023-04-20,AA-
123184,天阳转债,2023-03-23,370872,300872,天阳科技,0.0033529257,2023-04-18,AA-
123182,广联转债,2023-03-22,370900,300900,广联航空,0.0018586896,2023-04-17,A+
118033,华特转债,2023-03-21,718268,688268,华特气体,0.00520423,2023-04-14,AA-
123181,亚康转债,2023-03-21,371085,301085,亚康股份,0.000648472,2023-04-11,A+
113667,春23转债,2023-03-17,754890,603890,春秋电子,0.0013279,2023-04-11,AA-
113066,平煤转债,2023-03-16,783666,601666,平煤股份,0.00911085,2023-04-10,AAA
110093,神马转债,2023-03-16,733810,600810,神马股份,0.00484424,2023-04-20,AAA
123180,浙矿转债,2023-03-09,370837,300837,浙矿股份,0.0012734856,2023-03-28,AA-
127082,亚科转债,2023-03-09,072540,002540,亚太科技,0.0028099057,2023-04-27,AA
111013,新港转债,2023-03-08,713162,605162,新中港,0.00041324,2023-05-05,AA-
118032,建龙转债,2023-03-08,718357,688357,建龙微纳,0.00231615,2023-04-07,AA-
123179,立高转债,2023-03-07,370973,300973,立高食品,0.0019133484,2023-03-27,AA-
123178,花园转债,2023-03-06,370401,300401,花园生物,0.0041808277,2023-03-23,AA-
127081,中旗转债,2023-03-03,071212,001212,中旗新材,0.0007577099,2023-04-25,A+
123177,测绘转债,2023-03-02,370826,300826,测绘股份,0.0007691134,2023-03-24,A+
123176,精测转2,2023-03-02,370567,300567,精测电子,0.0043882511,2023-03-22,AA-
113666,爱玛转债,2023-02-23,754529,603529,爱玛科技,0.00177199,2023-03-20,AA
123175,百畅转债,2023-02-22,370614,300614,百川畅银,0.0014455717,2023-03-17,A
123174,精锻转债,2023-02-15,370258,300258,精锻科技,0.0014511423,2023-03-07,AA-
118031,天23转债,2023-02-13,718599,688599,天合光能,0.02789406,2023-03-15,AA
110092,三房转债,2023-01-06,733370,600370,三房巷,0.00223712,2023-02-07,A+
111012,福新转债,2023-01-04,713488,605488,福莱新材,0.00047102,2023-02-07,A+
111011,冠盛转债,2023-01-03,713088,605088,冠盛股份,0.00112556,2023-02-06,AA-
127080,声迅转债,2022-12-30,073004,003004,*ST声迅,0.0006709717,2023-02-10,A
118030,睿创转债,2022-12-30,718002,688002,睿创微纳,0.00512519,2023-02-10,AA
123173,恒锋转债,2022-12-30,370605,300605,恒锋信息,0.0007199338,2023-02-08,A-
127079,华亚转债,2022-12-16,073043,003043,华亚智能,0.0007307976,2023-01-16,A+
113665,汇通转债,2022-12-15,754176,603176,汇通集团,0.00161138,2023-01-11,AA-
118029,富淼转债,2022-12-15,718350,688350,富淼科技,0.00078808,2023-01-09,A
123172,漱玉转债,2022-12-15,371017,301017,漱玉平民,0.001298266,2023-01-06,AA-
127078,优彩转债,2022-12-14,072998,002998,优彩资源,0.0015816006,2023-01-09,A+
110091,合力转债,2022-12-13,733761,600761,安徽合力,0.00520092,2023-01-06,AA+
118028,会通转债,2022-12-06,718219,688219,会通股份,0.00102553,2023-01-04,AA-
113664,大元转债,2022-12-05,754757,603757,大元泵业,0.00053016,2023-01-04,AA-
127077,华宏转债,2022-12-02,072645,002645,华宏科技,0.0018989714,2023-01-10,A
113065,齐鲁转债,2022-11-29,783665,601665,齐鲁银行,0.04258181,2022-12-19,AAA
113663,新化转债,2022-11-28,754867,603867,新化股份,0.00138483,2022-12-16,AA-
123171,共同转债,2022-11-28,370966,300966,共同药业,0.0008545904,2022-12-16,A
118027,宏图转债,2022-11-28,718066,688066,航天宏图,0.0033846,2022-12-22,BBB+
113662,豪能转债,2022-11-25,754809,603809,豪能股份,0.00083925,2022-12-23,AA-
123170,南电转债,2022-11-24,370346,300346,南大光电,0.0034265105,2022-12-15,AA-
123168,惠云转债,2022-11-23,370891,300891,惠云钛业,0.0017122918,2022-12-14,AA-
123169,正海转债,2022-11-23,370224,300224,正海磁材,0.0034231574,2022-12-12,AA-
113661,福22转债,2022-11-22,754806,603806,福斯特,0.00370763,2022-12-22,AA
113660,寿22转债,2022-11-17,754896,603896,寿仙谷,0.00061196,2022-12-12,AA-
123167,商络转债,2022-11-17,370975,300975,商络电子,0.0006649965,2022-12-09,A+
113064,东材转债,2022-11-16,783208,601208,东材科技,0.00337118,2022-12-12,AA
111010,立昂转债,2022-11-14,713358,605358,立昂微,0.00870911,2022-12-07,AA
111009,盛泰转债,2022-11-07,713138,605138,盛泰集团,0.0029625,2022-12-01,AA
123166,蒙泰转债,2022-11-02,370876,300876,蒙泰高新,0.0003409429,2022-11-25,A
111008,沿浦转债,2022-11-02,713128,605128,上海沿浦,0.00064158,2022-11-28,A+
113063,赛轮转债,2022-11-02,783058,601058,赛轮轮胎,0.00504709,2022-11-24,AA
123165,回天转债,2022-10-27,370041,300041,回天新材,0.0026221841,2022-11-15,AA-
127076,中宠转2,2022-10-25,072891,002891,中宠股份,0.0027132874,2022-11-21,AA-
118026,利元转债,2022-10-24,718499,688499,利元亨,0.00169089,2022-11-18,A+
118025,奕瑞转债,2022-10-24,718301,688301,奕瑞科技,0.00472555,2022-11-18,AA
118024,冠宇转债,2022-10-24,718772,688772,珠海冠宇,0.00865087,2022-11-17,AA
123164,法本转债,2022-10-21,370925,300925,法本信息,0.0014980607,2022-11-14,A+
127075,百川转2,2022-10-19,072455,002455,百川股份,0.0030028704,2022-11-16,A+
123163,金沃转债,2022-10-14,370984,300984,金沃股份,0.0006837546,2022-11-07,A
113659,莱克转债,2022-10-14,754355,603355,莱克电气,0.00358625,2022-11-15,AA
123162,东杰转债,2022-10-14,370486,300486,东杰智能,0.0022080868,2022-11-04,BBB+
127074,麦米转2,2022-10-13,072851,002851,麦格米特,0.0037867415,2022-11-09,AA-
118023,广大转债,2022-10-13,718186,688186,广大特材,0.00449935,2022-11-09,AA-
123161,强联转债,2022-10-11,370850,300850,新强联,0.0041980672,2022-10-27,AA
111007,永和转债,2022-10-11,713020,605020,永和股份,0.00079744,2022-11-01,AA-
118022,锂科转债,2022-10-11,718779,688779,五矿新能,0.01010987,2022-11-07,AA
113657,再22转债,2022-09-29,754601,603601,再升科技,0.00166489,2022-10-27,AA-
123160,泰福转债,2022-09-28,370992,300992,泰福泵业,0.0011807313,2022-10-25,A
118021,新致转债,2022-09-27,718590,688590,新致软件,0.00210647,2022-11-02,A
123159,崧盛转债,2022-09-27,371002,301002,崧盛股份,0.0009864816,2022-10-24,AA-
123158,宙邦转债,2022-09-26,370037,300037,新宙邦,0.0055403768,2022-10-21,AA
110090,爱迪转债,2022-09-23,733933,600933,爱柯迪,0.00326889,2022-10-28,AA
127073,天赐转债,2022-09-23,072709,002709,天赐材料,0.0106411116,2022-10-27,AA
118020,芳源转债,2022-09-23,718148,688148,芳源股份,0.0030282,2022-11-07,BBB
110089,兴发转债,2022-09-22,733141,600141,兴发集团,0.00735328,2022-10-31,AA+
127072,博实转债,2022-09-22,072698,002698,博实股份,0.0013565036,2022-11-03,AA
118019,金盘转债,2022-09-16,718676,688676,金盘科技,0.00307878,2022-10-13,AA
113658,密卫转债,2022-09-16,754713,603713,密尔克卫,0.00278074,2022-10-25,AA-
113062,常银转债,2022-09-15,783128,601128,常熟银行,0.01924535,2022-10-17,AAA
110088,淮22转债,2022-09-14,733985,600985,淮北矿业,0.00498591,2022-10-20,AAA
113656,嘉诚转债,2022-09-01,754535,603535,嘉诚国际,0.00126608,2022-10-12,AA-
123157,科蓝转债,2022-08-30,370663,300663,科蓝软件,0.0031160271,2022-09-20,A
127071,天箭转债,2022-08-22,073009,003009,中天火箭,0.0023799411,2022-09-19,AA+
118018,瑞科转债,2022-08-18,718323,688323,瑞华泰,0.00172772,2022-09-14,A
127070,大中转债,2022-08-17,071203,001203,大中矿业,0.0019145637,2022-10-11,AA
123156,博汇转债,2022-08-16,370839,300839,博汇股份,0.0005633815,2022-09-02,A
127068,顺博转债,2022-08-12,072996,002996,顺博合金,0.0007501551,2022-09-07,AA-
123155,中陆转债,2022-08-12,371040,301040,中环海陆,0.0007387851,2022-08-31,A+
127069,小熊转债,2022-08-12,072959,002959,小熊电器,0.0005793748,2022-09-07,AA-
111006,嵘泰转债,2022-08-11,713133,605133,嵘泰股份,0.00102065,2022-09-21,AA-
118017,深科转债,2022-08-08,718328,688328,深科达,0.0007305,2022-08-29,A+
113655,欧22转债,2022-08-05,754833,603833,欧派家居,0.00185123,2022-09-01,AA
118016,京源转债,2022-08-05,718096,688096,京源环保,0.00085802,2022-08-25,A
123154,火星转债,2022-08-05,370894,300894,火星人,0.0012387727,2022-08-23,AA-
113654,永02转债,2022-08-04,754901,603901,永创智能,0.00157357,2022-09-01,AA-
113653,永22转债,2022-07-28,754681,603681,永冠新材,0.00109856,2022-08-26,AA-
113652,伟22转债,2022-07-22,754568,603568,伟明环保,0.00085852,2022-08-12,AA
118015,芯海转债,2022-07-21,718595,688595,芯海科技,0.00121976,2022-08-18,A+
123153,英力转债,2022-07-21,370956,300956,英力股份,0.0004921466,2022-08-11,A+
123152,润禾转债,2022-07-21,370727,300727,润禾材料,0.000613369,2022-08-11,A+
127067,恒逸转2,2022-07-21,070703,000703,恒逸石化,0.0037880595,2022-08-18,AA+
113651,松霖转债,2022-07-20,754992,603992,松霖科技,0.00038283,2022-08-17,AA
118014,高测转债,2022-07-18,718556,688556,高测股份,0.00132505,2022-08-12,A+
113061,拓普转债,2022-07-14,783689,601689,拓普集团,0.00267601,2022-08-12,AA+
127066,科利转债,2022-07-08,072850,002850,科达利,0.0038676044,2022-08-03,AA
118013,道通转债,2022-07-08,718208,688208,道通科技,0.0036183,2022-07-28,AA
118012,微芯转债,2022-07-05,718321,688321,微芯生物,0.00190876,2022-07-28,A+
118011,银微转债,2022-07-04,718689,688689,银河微电,0.00186904,2022-08-02,A+
113650,博22转债,2022-07-01,754916,603916,苏博特,0.00218809,2022-07-28,AA-
123151,康医转债,2022-07-01,370869,300869,康泰医学,0.0022130983,2022-07-20,A+
123150,九强转债,2022-06-30,370406,300406,九强生物,0.0033260952,2022-07-20,AA-
118010,洁特转债,2022-06-28,718026,688026,洁特生物,0.00128853,2022-08-02,A+
113649,丰山转债,2022-06-27,754810,603810,丰山集团,0.0007255,2022-07-21,AA-
118009,华锐转债,2022-06-24,718059,688059,华锐精密,0.00097933,2022-07-21,A+
110087,天业转债,2022-06-23,733075,600075,新疆天业,0.0062116,2022-07-19,AA+
118008,海优转债,2022-06-23,718680,688680,海优新材,0.00217149,2022-07-21,A
111005,富春转债,2022-06-23,713189,605189,富春染织,0.00047414,2022-07-25,AA-
127065,瑞鹄转债,2022-06-22,072997,002997,瑞鹄模具,0.0006807533,2022-07-27,A+
123149,通裕转债,2022-06-20,370185,300185,通裕重工,0.004226389,2022-07-15,AA
113060,浙22转债,2022-06-14,783878,601878,浙商证券,0.011774,2022-07-08,AAA
123148,上能转债,2022-06-14,370827,300827,上能电气,0.0014433022,2022-07-01,A+
123147,中辰转债,2022-05-31,370933,300933,中辰股份,0.0012720896,2022-06-21,AA-
113059,福莱转债,2022-05-20,783865,601865,福莱特,0.00327735,2022-06-13,AA
127064,杭氧转债,2022-05-19,072430,002430,杭氧股份,0.0018155797,2022-07-05,AA+
123146,中环转2,2022-05-06,370692,300692,中环环保,0.0028708956,2022-05-26,AA-
113648,巨星转债,2022-04-25,754477,603477,巨星农牧,0.00217775,2022-05-17,AA-
127063,贵轮转债,2022-04-22,070589,000589,贵州轮胎,0.0060069146,2022-05-30,AA
110086,精工转债,2022-04-22,733496,600496,精工钢构,0.00667805,2022-05-23,AA
113647,禾丰转债,2022-04-22,754609,603609,禾丰股份,0.00373098,2022-05-18,AA
127062,垒知转债,2022-04-21,072398,002398,垒知集团,0.0011674071,2022-05-20,AA-
127061,美锦转债,2022-04-20,070723,000723,美锦能源,0.024350407,2022-05-30,A+
123145,药石转债,2022-04-20,370725,300725,药石科技,0.0029664999,2022-05-18,AA
127060,湘佳转债,2022-04-19,072982,002982,湘佳股份,0.0020221327,2022-06-10,A+
