债券代码,债券简称,申购日期,申购代码,正股代码,正股简称,中签率,上市时间,信用评级,上市委通过日期,同意注册日期,上市委-申购,注册-申购,同意注册日期_开盘价,同意注册日期_收盘价,上市委通过日期_开盘价,上市委通过日期_收盘价,申购日期_开盘价,申购日期_收盘价,上市时间_开盘价,上市时间_收盘价
123213,天源转债,2023-07-28,371127,301127,武汉天源,0.0037859869,2023-08-16,AA-,2023-05-12,2023-06-28 00:00:00,77,30,9.630,9.630,10.210,10.080,10.050,10.160,10.440,10.200
113068,金铜转债,2023-07-28,783609,601609,金田股份,0.00313136,2023-08-28,AA+,2023-06-01,2023-06-30,57,28,6.380,6.490,6.550,6.500,6.530,6.630,6.660,6.490
123211,阳谷转债,2023-07-27,370121,300121,阳谷华泰,0.0011936109,2023-08-14,AA-,2023-04-08,2023-06-05,110,52,9.520,9.370,11.450,11.350,9.700,9.490,9.190,9.250
123210,信服转债,2023-07-27,370454,300454,深信服,0.0024586282,2023-08-18,AA,2023-04-14,2023-07-05,104,22,113.750,112.110,140.800,137.600,110.390,107.550,112.380,109.180
113067,燃23转债,2023-07-27,783139,601139,深圳燃气,0.01104675,2023-08-18,AAA,2023-05-23,2023-06-29,65,28,7.390,7.340,7.280,7.180,7.180,7.350,7.000,7.040
123212,立中转债,2023-07-27,370428,300428,立中集团,0.0016998032,2023-08-16,AA-,2023-05-25,2023-07-07,63,20,23.310,22.990,21.480,21.370,25.000,24.800,23.460,23.470
123209,聚隆转债,2023-07-26,370644,300644,南京聚隆,0.000840233,2023-08-17,A+,2023-04-10,2023-05-17,107,70,15.590,16.070,16.880,16.560,17.590,17.560,16.600,17.030
118040,宏微转债,2023-07-25,718711,688711,宏微科技,0.00147191,2023-08-14,A,2023-04-15,2023-06-07,101,48,58.910,60.490,89.900,88.370,60.000,59.610,53.740,53.000
111016,神通转债,2023-07-25,713228,605228,神通科技,0.00043413,2023-08-15,AA-,2023-05-25,2023-07-06,61,19,9.960,9.970,8.530,8.600,10.920,11.400,9.960,9.600
123208,孩王转债,2023-07-24,371078,301078,孩子王,0.0044397098,2023-08-10,AA,2023-04-20,2023-06-09,95,45,12.290,13.130,11.000,10.840,11.000,10.890,11.090,10.870
127090,兴瑞转债,2023-07-24,72937,2937,兴瑞科技,0.0010381564,2023-08-15,AA-,2023-05-19,2023-07-05,66,19,25.960,26.420,22.600,22.860,25.470,25.930,24.280,24.160
123207,冠中转债,2023-07-21,370948,300948,冠中生态,0.0013600673,2023-08-09,A-,2023-05-22,2023-06-29,60,22,13.910,14.690,14.380,14.650,15.300,15.210,15.220,14.850
113674,华设转债,2023-07-21,754018,603018,华设集团,0.00097532,2023-08-15,AA,2023-04-20,2023-06-29,92,22,8.620,8.710,9.020,9.160,8.580,8.710,8.650,8.680
118039,煜邦转债,2023-07-20,718597,688597,煜邦电力,0.00166927,2023-08-15,A,2023-05-30,2023-07-01,51,19,10.170,10.060,10.450,10.570,9.980,9.590,8.800,8.700
123206,开能转债,2023-07-20,370272,300272,开能健康,0.0005681769,2023-08-08,A+,2023-04-28,2023-07-03,83,17,5.310,5.330,5.280,5.380,5.580,5.610,5.620,5.690
110094,众和转债,2023-07-18,733888,600888,新疆众和,0.00389776,2023-08-14,AA,2023-05-18,2023-07-06,61,12,8.110,8.090,8.350,8.220,8.000,8.100,8.060,8.180
127089,晶澳转债,2023-07-18,72459,2459,晶澳科技,0.0241433531,2023-08-04,AA+,2023-04-28,2023-06-01,81,47,36.090,35.200,40.630,40.390,33.910,33.210,31.710,31.630
113672,福蓉转债,2023-07-18,754327,603327,福蓉科技,0.00073622,2023-08-10,AA,2023-05-19,2023-06-30,60,18,11.640,11.880,14.930,15.070,12.070,12.250,12.570,12.610
113673,岱美转债,2023-07-18,754730,603730,岱美股份,0.00061925,2023-08-10,AA,2023-04-28,2023-06-22,81,26,15.790,16.420,17.230,16.900,15.760,17.510,18.560,18.600
118038,金宏转债,2023-07-17,718106,688106,金宏气体,0.00221597,2023-08-10,AA-,2023-04-11,2023-06-28,97,19,25.900,25.900,23.630,23.800,24.800,25.250,25.400,25.010
123205,大叶转债,2023-07-17,370879,300879,大叶股份,0.0007488107,2023-08-08,A+,2022-11-11,2023-01-18,248,180,16.440,16.600,18.350,18.130,18.570,18.030,17.470,17.360
123204,金丹转债,2023-07-13,370829,300829,金丹科技,0.0015047031,2023-08-02,AA-,2023-03-24,2023-04-28,111,76,21.580,21.660,22.920,23.600,21.120,21.490,21.020,21.080
113671,武进转债,2023-07-10,754878,603878,武进不锈,0.00072475,2023-08-03,AA,2023-05-24,2023-06-29,47,11,8.160,8.300,8.370,8.360,8.250,8.280,8.510,8.430
